material_id,material_family,common_name,sub_family,ISO,EN,DIN,WNr,ANSI_AA_USA,SAE_AISI,UNS,JIS_JP,GB_CN,BS_GB,AFNOR_FR,UNE_ES,UNI_IT,density_g_cm3_nominal,notes,confidence,review_status,source_ids
al_6063,Aluminum,Aluminum 6063,6000 series,Al Mg0.7Si,EN AW-6063,3.3221,,6063,,A96063,A6063,6063,6063,6063,,2.69,Architectural extrusion alloy. Good surface finish.,0.90,verified,matweb_manual
al_6082,Aluminum,Aluminum 6082,6000 series,Al Si1MgMn,EN AW-6082,3.2315,,6082,,A96082,,,6082,6082,,2.70,Structural Al-Mg-Si. Higher strength than 6061 in some conditions.,0.90,verified,matweb_manual
al_7075,Aluminum,Aluminum 7075,7000 series,Al Zn5.5MgCu,EN AW-7075,3.4365,,7075,,A97075,A7075,7075,7075,7075,,2.81,High-strength aerospace alloy. Zn primary alloying element.,0.95,verified,matweb_manual
al_7050,Aluminum,Aluminum 7050,7000 series,Al Zn6CuMgZr,EN AW-7050,3.4144,,7050,,A97050,,7050,7050,7050,,2.83,Very high strength AlZn alloy. Good SCC resistance.,0.85,verified,matweb_manual
ss_303,Stainless Steel,Stainless 303,Austenitic,,X8CrNiS18-9,1.4305,,303,S30300,SU303,Y1Cr18Ni9,303S21,Z8CNF18-09,X8CrNiS18-9,,8.00,Free-machining austenitic stainless. Sulfur addition for chip break.,0.95,verified,matweb_manual;steelnumber
ss_304,Stainless Steel,Stainless 304,Austenitic,,X5CrNi18-10,1.4301,,304,S30400,SU304,06Cr19Ni10,304S31,Z7CN18-09,X5CrNi18-10,,8.00,General-purpose austenitic. The most common stainless grade.,0.95,verified,matweb_manual;steelnumber;machiningdoctor_materials
ss_304l,Stainless Steel,Stainless 304L,Austenitic,,X2CrNi18-9,1.4306,,304L,S30403,SU304L,022Cr19Ni10,304S11,Z3CN18-10,X2CrNi18-10,,8.00,Low-carbon 304 for welding without sensitization.,0.95,verified,matweb_manual;steelnumber
ss_316,Stainless Steel,Stainless 316,Austenitic,,X5CrNiMo17-12-2,1.4401,,316,S31600,SU316,06Cr17Ni12Mo2,316S31,Z7CND17-11-02,X5CrNiMo17-12-2,,8.00,Mo-bearing austenitic. Excellent pitting corrosion resistance.,0.95,verified,matweb_manual;steelnumber;machiningdoctor_materials
ss_316l,Stainless Steel,Stainless 316L,Austenitic,,X2CrNiMo17-12-2,1.4404,,316L,S31603,SU316L,022Cr17Ni12Mo2,316S11,Z3CND17-11-02,X2CrNiMo17-12-2,,8.00,Low-carbon 316. Preferred for welded structures.,0.95,verified,matweb_manual;steelnumber
ss_321,Stainless Steel,Stainless 321,Austenitic,,X6CrNiTi18-10,1.4541,,321,S32100,SU321,06Cr18Ni11Ti,321S31,Z6CNT18-10,X6CrNiTi18-10,,8.00,Ti stabilized austenitic. Good for elevated temperatures.,0.85,verified,matweb_manual
ss_410,Stainless Steel,Stainless 410,Martensitic,,X12Cr13,1.4006,,410,S41000,SU410,12Cr13,410S21,Z13C13,X12Cr13,,7.75,Basic martensitic. Hardenable by heat treatment.,0.90,verified,matweb_manual
ss_420,Stainless Steel,Stainless 420,Martensitic,,X20Cr13,1.4021,,420,S42000,SU420,20Cr13,420S29,Z20C13,X20Cr13,,7.75,Higher carbon martensitic. Good for cutlery and tooling.,0.85,verified,matweb_manual
ss_430,Stainless Steel,Stainless 430,Ferritic,,X6Cr17,1.4016,,430,S43000,SU430,10Cr17,430S17,Z8C17,X6Cr17,,7.70,Ferritic stainless. Magnetic, good for decorative trim.,0.85,verified,matweb_manual
ss_440c,Stainless Steel,Stainless 440C,Martensitic,,X105CrMo17,1.4125,,440C,S44004,SU440C,,,Z100CD17,X105CrMo17,,7.75,High-carbon martensitic. Very high hardness after HT.,0.85,verified,matweb_manual
ss_17_4ph,Stainless Steel,17-4PH / 630,PH,UNS S17400,X5CrNiCuNb16-4,1.4542,,17-4PH,S17400,SU630,,,Z7CNU17-04,X5CrNiCuNb16-4,,7.80,Precipitation hardening stainless. Excellent strength + corrosion.,0.95,verified,matweb_manual
ss_15_5ph,Stainless Steel,15-5PH,PH,UNS S15500,X5CrNiCu15-5,1.4545,,15-5PH,S15500,,,,,,7.80,Variant of 17-4 with better transverse properties.,0.80,verified,matweb_manual
cs_1018,Carbon Steel,Carbon Steel 1018,Low carbon,,,,,1018,G10180,S20C,,,,,7.87,General mild steel. Carburizing grade. Good machinability.,0.95,verified,matweb_manual
cs_1020,Carbon Steel,Carbon Steel 1020,Low carbon,,C22E,1.1151,,1020,G10200,S20C,20#,070M20,C22,,,7.87,Common structural carbon steel. Balanced strength/formability.,0.90,verified,matweb_manual
cs_1045,Carbon Steel,Carbon Steel 1045,Medium carbon,,C45E,1.1191,,1045,G10450,S45C,45#,080M46,C45,C45,,7.85,Widely used medium carbon steel. Good for shafts and gears.,0.95,verified,matweb_manual;steelnumber
cs_12l14,Carbon Steel,12L14,Free-cutting,,,,,12L14,G12144,,,230M07,,,,7.87,Leaded free-cutting steel. Excellent machinability.,0.90,verified,matweb_manual
cs_4140,Alloy Steel,4140 / 42CrMo4,CrMo,,42CrMo4,1.7225,,4140,G41400,SCM440,42CrMo,708M40,42CD4,42CrMo4,,7.85,Classic CrMo alloy. High strength after Q+T. Common CNC material.,0.95,verified,matweb_manual;steelnumber;machiningdoctor_materials
cs_4340,Alloy Steel,4340 / 40NiCrMo7,NiCrMo,UNS G43400,40NiCrMo7,1.6565,,4340,G43400,SNCM439,40CrNiMoA,817M40,40NCD7,40NiCrMo7,,7.85,High-strength NiCrMo alloy. Aerospace and heavy machinery.,0.90,verified,matweb_manual
cs_8620,Alloy Steel,8620,NiCrMo,UNS G86200,20NiCrMo2,1.6523,,8620,G86200,SNCM220,20CrNiMo,805M20,20NCD2,20NiCrMo2,,7.85,Case-hardening NiCrMo. Good core toughness.,0.85,verified,matweb_manual
cs_40cr,Alloy Steel,40Cr / 5140,Cr,,,,,5140,G51400,SCr440,40Cr,530M40,,40Cr4,,7.85,Chromium alloy steel. Chinese and Asian standard equivalent.,0.85,verified,steelnumber
cs_20mncr5,Alloy Steel,20MnCr5 / 1.7147,MnCr,,,,,,,SCM420,20CrMnTi,,20MC5,20MnCr5,,7.85,Case-hardening MnCr. Common for gears in Europe.,0.85,verified,steelnumber
ts_o1,Tool Steel,O1,Oil-hardening,,100MnCrW4,1.2510,,O1,T31501,SKS3,9CrWMn,,90MWCV8,100MnCrW4,,7.80,Oil-hardening cold work tool steel. Good wear resistance.,0.90,verified,matweb_manual;steelnumber
ts_a2,Tool Steel,A2,Air-hardening,,X100CrMoV5,1.2363,,A2,T30102,SKD12,Cr8Mo2V,,X100CrMoV15,X100CrMoV5,,7.85,Air-hardening cold work. Better dimensional stability than O1.,0.85,verified,matweb_manual;steelnumber
ts_d2,Tool Steel,D2 / SKD11,High C high Cr,,X153CrMoV12,1.2379,,D2,T30402,SKD11,Cr12Mo1V,,X160CrMoV12,X153CrMoV12,,7.70,High-carbon high-chromium cold work. Very high wear resistance.,0.95,verified,matweb_manual;steelnumber;machiningdoctor_materials
ts_h13,Tool Steel,H13 / SKD61,Hot work,,X40CrMoV5-1,1.2344,,H13,T20813,SKD61,4Cr5MoSiV1,BH13,Z40CDV5,X40CrMoV5-1,,7.80,Premium hot work tool steel. Excellent toughness.,0.95,verified,matweb_manual;steelnumber
ts_p20,Tool Steel,P20 / 1.2311,Plastic mold,,,,,,,3Cr2Mo,1.2311,P20+Ni,,1.2311,,7.84,Pre-hardened plastic mold steel. Good polishability.,0.85,verified,steelnumber
ts_m2,Tool Steel,M2,High speed,,HS6-5-2C,1.3343,,M2,T11302,SKH51,W6Mo5Cr4V2,BM2,Z85WDCV6,HS6-5-2C,,8.10,General-purpose HSS. Balanced wear/toughness.,0.90,verified,matweb_manual
ts_s7,Tool Steel,S7,Shock-resisting,,,,,S7,T41907,,,,,,7.83,Shock-resisting tool steel. For chisels, punches, shear blades.,0.80,verified,matweb_manual
cu_c110,Copper,ETP Copper C110,Pure copper,,Cu-ETP,CW004A,,C110,C11000,C1100,T2,C101,,Cu-ETP,,8.94,Electrolytic tough pitch copper. High electrical conductivity.,0.90,verified,matweb_manual
cu_c101,Copper,OF Copper C101,Pure copper,,Cu-OF,CW008A,,C101,C10100,C1011,TU1,C103,,Cu-OF,,8.94,Oxygen-free high conductivity copper. Electronics grade.,0.80,verified,matweb_manual
cu_c360,Brass,Free-cutting Brass C360,Lead brass,,CuZn36Pb3,CW603N,,C360,C36000,C3604,,CZ121,,,,8.50,Leaded free-machining brass. Most common brass for CNC turning.,0.95,verified,matweb_manual;machiningdoctor_materials
cu_c260,Brass,Cartridge Brass C260,70-30 brass,,CuZn30,CW505L,,C260,C26000,C2600,,CZ106,,,,8.53,70Cu-30Zn cartridge brass. Good deep drawing.,0.85,verified,matweb_manual
cu_c172,Copper,Beryllium Copper C172,Be copper,,CuBe2,CW101C,,C17200,C17200,C1720,,CB101,,,,8.25,High-strength BeCu. Non-sparking tools, springs, connectors.,0.85,verified,matweb_manual
cu_cw614n,Brass,Brass CW614N,Free-cutting,,CuZn39Pb3,CW614N,,CW614N,,,,,,,,8.45,European standard free-machining brass equivalent.,0.80,verified,matweb_manual
ti_gr2,Titanium,Titanium Grade 2,CP Ti,,,,,,Grade 2,CP Ti,TP340,TA2,,,,4.51,Commercially pure Ti. Good corrosion, moderate strength.,0.95,verified,matweb_manual
ti_gr5,Titanium,Titanium Grade 5 / Ti-6Al-4V,Al-V,,,,,,Grade 5,R56400,Ti-6Al-4V,TC4,,,,4.43,The most common Ti alloy. High strength-to-weight. Aerospace/medical.,0.95,verified,matweb_manual;machiningdoctor_materials
pl_abs,Plastic,ABS,,,,,,,,,,,,,,1.06,Acrylonitrile Butadiene Styrene. General-purpose rigid plastic.,0.90,verified,matweb_manual
pl_pc,Plastic,Polycarbonate (PC),,,,,,,,,,,,,1.20,High-impact transparent plastic. Electronics housings.,0.90,verified,matweb_manual
pl_pmma,Plastic,Acrylic / PMMA,,,,,,,,,,,,,1.19,Polymethyl methacrylate. Optical clarity, outdoor weatherability.,0.85,verified,matweb_manual
pl_pom,Plastic,POM / Acetal / Delrin,,,,,,,,,,,,1.41,Polyoxymethylene. High stiffness, low friction. CNC-friendly.,0.95,verified,matweb_manual;machiningdoctor_materials
pl_pa6,Plastic,Nylon PA6,,,,,,,,,,,,1.14,Polyamide 6. Good wear resistance and toughness.,0.90,verified,matweb_manual
pl_pa66,Plastic,Nylon PA66,,,,,,,,,,,,1.14,Polyamide 66. Higher stiffness and thermal resistance than PA6.,0.90,verified,matweb_manual
pl_pp,Plastic,Polypropylene (PP),,,,,,,,,,,,0.91,Lightweight, chemical resistant. Common for living hinges.,0.85,verified,matweb_manual
pl_hdpe,Plastic,HDPE,,,,,,,,,,,,0.95,High-density polyethylene. Tough, moisture resistant.,0.85,verified,matweb_manual
pl_pvc,Plastic,PVC,,,,,,,,,,,,1.40,Rigid PVC. Chemical resistant, flame retardant.,0.80,verified,matweb_manual
pl_ptfe,Plastic,PTFE / Teflon,,,,,,,,,,,,2.20,Polytetrafluoroethylene. Very low friction, high temperature.,0.95,verified,matweb_manual;machiningdoctor_materials
pl_peek,Plastic,PEEK,,,,,,,,,,,,1.32,Polyether ether ketone. High performance, extreme chemical + temp resistance.,0.95,verified,matweb_manual;machiningdoctor_materials
pl_pei,Plastic,PEI / ULTEM,,,,,,,,,,,,1.27,Polyetherimide. High strength, flame retardant, aircraft interiors.,0.90,verified,matweb_manual
pl_pps,Plastic,PPS / Ryton,,,,,,,,,,,,1.35,Polyphenylene sulfide. Excellent chemical and heat resistance.,0.85,verified,matweb_manual
pl_pi,Plastic,Polyimide / Vespel,,,,,,,,,,,,1.43,Premium high-temperature plastic. Aerospace, semiconductor.,0.80,verified,matweb_manual
pl_fr4,Plastic,FR4 / G10,,,,,,,,,,,,1.85,Glass-epoxy laminate. Electrical insulation, PCB substrate.,0.80,verified,matweb_manual
